wikidata	wikidatalink	source_page	instance_of	part_of	subclass_of	eu	eu_wikipedia	es	es_wikipedia	en	en_wikipedia	fr	fr_wikipedia	it	it_wikipedia	de	de_wikipedia	pt	pt_wikipedia	ca	ca_wikipedia	cs	cs_wikipedia
Q6388	https://wikidata.org/wiki/Q6388	Swimming			https://wikidata.org/wiki/Q3467704, https://wikidata.org/wiki/Q451967	Igeriketa	https://eu.wikipedia.org/wiki/Igeriketa	natación	https://es.wikipedia.org/wiki/Natación	swimming	https://en.wikipedia.org/wiki/Swimming	natation	https://fr.wikipedia.org/wiki/Natation	nuoto	https://it.wikipedia.org/wiki/Nuoto	Schwimmen	https://de.wikipedia.org/wiki/Schwimmen	natação	https://pt.wikipedia.org/wiki/Natação	natació	https://ca.wikipedia.org/wiki/Natació	plavání	https://cs.wikipedia.org/wiki/Plavání	
Q956	https://wikidata.org/wiki/Q956	Beijing		https://wikidata.org/wiki/Q5119, https://wikidata.org/wiki/Q515, https://wikidata.org/wiki/Q1208802, https://wikidata.org/wiki/Q1066538, https://wikidata.org/wiki/Q1637706, https://wikidata.org/wiki/Q50330360, https://wikidata.org/wiki/Q208511, https://wikidata.org/wiki/Q174844, https://wikidata.org/wiki/Q27554677, https://wikidata.org/wiki/Q200250		Pekin	https://eu.wikipedia.org/wiki/Pekin	Pekín	https://es.wikipedia.org/wiki/Pekín	Beijing	https://en.wikipedia.org/wiki/Beijing	Pékin	https://fr.wikipedia.org/wiki/Pékin	Pechino	https://it.wikipedia.org/wiki/Pechino	Peking	https://de.wikipedia.org/wiki/Peking	Pequim	https://pt.wikipedia.org/wiki/Pequim	Pequín	https://ca.wikipedia.org/wiki/Pequín	Peking	https://cs.wikipedia.org/wiki/Peking	
Q2485448	https://wikidata.org/wiki/Q2485448	Sports_governing_body			https://wikidata.org/wiki/Q4438121, https://wikidata.org/wiki/Q5588651, https://wikidata.org/wiki/Q1156831	kirol-federazio	https://eu.wikipedia.org/wiki/Kirol-federazio	federación deportiva	https://es.wikipedia.org/wiki/Ente rector del deporte	sports governing body	https://en.wikipedia.org/wiki/Sports governing body	fédération sportive	https://fr.wikipedia.org/wiki/Fédération sportive	federazione sportiva	https://it.wikipedia.org/wiki/Federazione sportiva	Sportverband	https://de.wikipedia.org/wiki/Sportverband	federação desportiva	https://pt.wikipedia.org/wiki/Federação desportiva	federació esportiva		sportovní svaz	https://cs.wikipedia.org/wiki/Sportovní svaz	
Q189289	https://wikidata.org/wiki/Q189289	FINA		https://wikidata.org/wiki/Q11422536, https://wikidata.org/wiki/Q98417505		FINA	https://eu.wikipedia.org/wiki/FINA	Federación Internacional de Natación	https://es.wikipedia.org/wiki/Federación Internacional de Natación	FINA	https://en.wikipedia.org/wiki/FINA	Fédération internationale de natation	https://fr.wikipedia.org/wiki/Fédération internationale de natation	Federazione internazionale del nuoto	https://it.wikipedia.org/wiki/Federazione internazionale del nuoto	Fédération Internationale de Natation	https://de.wikipedia.org/wiki/Fédération Internationale de Natation	Federação Internacional de Natação	https://pt.wikipedia.org/wiki/Federação Internacional de Natação	Federació Internacional de Natació	https://ca.wikipedia.org/wiki/Federació Internacional de Natació	Mezinárodní plavecká federace	https://cs.wikipedia.org/wiki/Mezinárodní plavecká federace	
Q200023	https://wikidata.org/wiki/Q200023	Natatorium			https://wikidata.org/wiki/Q12004466, https://wikidata.org/wiki/Q30313989, https://wikidata.org/wiki/Q1076486			centro de natación		swimming center	https://en.wikipedia.org/wiki/Natatorium	centre aquatique				Schwimmbad	https://de.wikipedia.org/wiki/Schwimmbad			centre de natació		plavecký bazén	https://cs.wikipedia.org/wiki/Plavecký bazén	
Q631004	https://wikidata.org/wiki/Q631004	Open_water_swimming		https://wikidata.org/wiki/Q2312410	https://wikidata.org/wiki/Q6388, https://wikidata.org/wiki/Q349	Ur irekietako igeriketa	https://eu.wikipedia.org/wiki/Ur irekietako igeriketa	natación en aguas abiertas	https://es.wikipedia.org/wiki/Natación en aguas abiertas	open water swimming	https://en.wikipedia.org/wiki/Open water swimming	nage en eau libre	https://fr.wikipedia.org/wiki/Nage en eau libre	nuoto di fondo	https://it.wikipedia.org/wiki/Nuoto di fondo	Freiwasserschwimmen	https://de.wikipedia.org/wiki/Freiwasserschwimmen	natação de águas abertas	https://pt.wikipedia.org/wiki/Natação de águas abertas	natació en aigües obertes	https://ca.wikipedia.org/wiki/Natació en aigües obertes	dálkové plavání	https://cs.wikipedia.org/wiki/Dálkové plavání	
Q5389	https://wikidata.org/wiki/Q5389	Olympic_Games		https://wikidata.org/wiki/Q18608583	https://wikidata.org/wiki/Q44637051, https://wikidata.org/wiki/Q167170, https://wikidata.org/wiki/Q18608583	Olinpiar Jokoak	https://eu.wikipedia.org/wiki/Olinpiar Jokoak	Juegos Olímpicos	https://es.wikipedia.org/wiki/Juegos Olímpicos	Olympic Games	https://en.wikipedia.org/wiki/Olympic Games	Jeux olympiques	https://fr.wikipedia.org/wiki/Jeux olympiques	giochi olimpici	https://it.wikipedia.org/wiki/Giochi olimpici	Olympische Spiele	https://de.wikipedia.org/wiki/Olympische Spiele	Jogos Olímpicos	https://pt.wikipedia.org/wiki/Jogos Olímpicos	Jocs Olímpics	https://ca.wikipedia.org/wiki/Jocs Olímpics	olympijské hry	https://cs.wikipedia.org/wiki/Olympijské hry	
Q1344963	https://wikidata.org/wiki/Q1344963	World_championship		https://wikidata.org/wiki/Q500834	https://wikidata.org/wiki/Q1079023, https://wikidata.org/wiki/Q14547231			campeonato mundial	https://es.wikipedia.org/wiki/Campeonato mundial	world championship	https://en.wikipedia.org/wiki/World championship	championnat du monde	https://fr.wikipedia.org/wiki/Championnat du monde	campionato mondiale	https://it.wikipedia.org/wiki/Campionato mondiale	Weltmeisterschaft	https://de.wikipedia.org/wiki/Weltmeisterschaft	campeonato mundial		campionat del món		mistrovství světa	https://cs.wikipedia.org/wiki/Mistrovství světa	
Q273469	https://wikidata.org/wiki/Q273469	FINA_World_Aquatics_Championships		https://wikidata.org/wiki/Q15259995	https://wikidata.org/wiki/Q1344963			Campeonato Mundial de Natación	https://es.wikipedia.org/wiki/Campeonato Mundial de Natación	FINA World Aquatics Championships	https://en.wikipedia.org/wiki/FINA World Aquatics Championships	Championnats du monde de natation	https://fr.wikipedia.org/wiki/Championnats du monde de natation	Campionati mondiali di nuoto	https://it.wikipedia.org/wiki/Campionati mondiali di nuoto	Schwimmweltmeisterschaften	https://de.wikipedia.org/wiki/Schwimmweltmeisterschaften	Campeonato Mundial de Desportos Aquáticos	https://pt.wikipedia.org/wiki/Campeonato Mundial de Natação	Campionat del Món de natació	https://ca.wikipedia.org/wiki/Campionat del Món de natació	Mistrovství světa v plavání	https://cs.wikipedia.org/wiki/Mistrovství světa v plavání	
Q73633	https://wikidata.org/wiki/Q73633	Paralympic_Games		https://wikidata.org/wiki/Q18608583	https://wikidata.org/wiki/Q167170, https://wikidata.org/wiki/Q44637051	Paralinpiar Jokoak	https://eu.wikipedia.org/wiki/Paralinpiar Jokoak	Juegos Paralímpicos	https://es.wikipedia.org/wiki/Juegos Paralímpicos	Paralympic Games	https://en.wikipedia.org/wiki/Paralympic Games	Jeux paralympiques	https://fr.wikipedia.org/wiki/Jeux paralympiques	Giochi paralimpici	https://it.wikipedia.org/wiki/Giochi paralimpici	Paralympische Spiele	https://de.wikipedia.org/wiki/Paralympische Spiele	Jogos Paralímpicos	https://pt.wikipedia.org/wiki/Jogos Paraolímpicos	Jocs Paralímpics	https://ca.wikipedia.org/wiki/Jocs Paralímpics	paralympijské hry	https://cs.wikipedia.org/wiki/Paralympijské hry	
