wikidata	wikidatalink	source_page	instance_of	part_of	subclass_of	eu	eu_wikipedia	es	es_wikipedia	en	en_wikipedia	fr	fr_wikipedia	it	it_wikipedia	de	de_wikipedia	pt	pt_wikipedia	ca	ca_wikipedia	cs	cs_wikipedia
Q58784	https://wikidata.org/wiki/Q58784	Das_Kapital		https://wikidata.org/wiki/Q47461344		Das Kapital	https://eu.wikipedia.org/wiki/Das Kapital	El capital	https://es.wikipedia.org/wiki/El capital	Das Kapital	https://en.wikipedia.org/wiki/Das Kapital	Le Capital	https://fr.wikipedia.org/wiki/Le Capital	Il Capitale	https://it.wikipedia.org/wiki/Il Capitale	Das Kapital	https://de.wikipedia.org/wiki/Das Kapital	O Capital	https://pt.wikipedia.org/wiki/O Capital	El capital	https://ca.wikipedia.org/wiki/El Capital	Kapitál	https://cs.wikipedia.org/wiki/Kapitál (kniha)	
Q9061	https://wikidata.org/wiki/Q9061	Karl_Marx		https://wikidata.org/wiki/Q1518091, https://wikidata.org/wiki/Q20088846, https://wikidata.org/wiki/Q5		Karl Marx	https://eu.wikipedia.org/wiki/Karl Marx	Karl Marx	https://es.wikipedia.org/wiki/Karl Marx	Karl Marx	https://en.wikipedia.org/wiki/Karl Marx	Karl Marx	https://fr.wikipedia.org/wiki/Karl Marx	Karl Marx	https://it.wikipedia.org/wiki/Karl Marx	Karl Marx	https://de.wikipedia.org/wiki/Karl Marx	Karl Marx	https://pt.wikipedia.org/wiki/Karl Marx	Karl Marx	https://ca.wikipedia.org/wiki/Karl Marx	Karl Marx	https://cs.wikipedia.org/wiki/Karl Marx	
Q7264	https://wikidata.org/wiki/Q7264	Marxismus		https://wikidata.org/wiki/Q1401304, https://wikidata.org/wiki/Q12909644, https://wikidata.org/wiki/Q3048444	https://wikidata.org/wiki/Q7272, https://wikidata.org/wiki/Q6186	Marxismo	https://eu.wikipedia.org/wiki/Marxismo	marxismo	https://es.wikipedia.org/wiki/Marxismo	Marxism	https://en.wikipedia.org/wiki/Marxism	marxisme	https://fr.wikipedia.org/wiki/Marxisme	marxismo	https://it.wikipedia.org/wiki/Marxismo	Marxismus	https://de.wikipedia.org/wiki/Marxismus	marxismo	https://pt.wikipedia.org/wiki/Marxismo	marxisme	https://ca.wikipedia.org/wiki/Marxisme	marxismus	https://cs.wikipedia.org/wiki/Marxismus	
Q190004	https://wikidata.org/wiki/Q190004	Historischer_Materialismus		https://wikidata.org/wiki/Q7264, https://wikidata.org/wiki/Q22811234		Materialismo historiko	https://eu.wikipedia.org/wiki/Materialismo historiko	materialismo histórico	https://es.wikipedia.org/wiki/Materialismo histórico	historical materialism	https://en.wikipedia.org/wiki/Historical materialism	matérialisme historique	https://fr.wikipedia.org/wiki/Matérialisme historique	materialismo storico	https://it.wikipedia.org/wiki/Materialismo storico	Historischer Materialismus	https://de.wikipedia.org/wiki/Historischer Materialismus	materialismo histórico	https://pt.wikipedia.org/wiki/Materialismo histórico	materialisme històric	https://ca.wikipedia.org/wiki/Materialisme històric	Historický materialismus	https://cs.wikipedia.org/wiki/Historický materialismus	
Q1641112	https://wikidata.org/wiki/Q1641112	Gesellschaftsformation			https://wikidata.org/wiki/Q33104129			formación social	https://es.wikipedia.org/wiki/Formación socioeconómica	social formation	https://en.wikipedia.org/wiki/Social formation	formation social		formazione sociale		Gesellschaftsformation	https://de.wikipedia.org/wiki/Gesellschaftsformation			ordre social	https://ca.wikipedia.org/wiki/Formació social			
Q11409498	https://wikidata.org/wiki/Q11409498	Urgesellschaft			https://wikidata.org/wiki/Q177634			sociedad primitiva		Primitive Society	https://en.wikipedia.org/wiki/Urgesellschaft					Urgesellschaft	https://de.wikipedia.org/wiki/Urgesellschaft							
Q2292643	https://wikidata.org/wiki/Q2292643	Sklavenhaltergesellschaft		https://wikidata.org/wiki/Q1548084				modo de producción esclavista	https://es.wikipedia.org/wiki/Modo de producción esclavista	Slave-holding society						Sklavenhaltergesellschaft	https://de.wikipedia.org/wiki/Sklavenhaltergesellschaft			Mode de producció esclavista	https://ca.wikipedia.org/wiki/Mode de producció esclavista			
Q37739	https://wikidata.org/wiki/Q37739	Feudalismus		https://wikidata.org/wiki/Q28108	https://wikidata.org/wiki/Q845132	Feudalismo	https://eu.wikipedia.org/wiki/Feudalismo	feudalismo	https://es.wikipedia.org/wiki/Feudalismo	feudalism	https://en.wikipedia.org/wiki/Feudalism	féodalité	https://fr.wikipedia.org/wiki/Féodalité	feudalesimo	https://it.wikipedia.org/wiki/Feudalesimo	Feudalismus	https://de.wikipedia.org/wiki/Feudalismus	feudalismo	https://pt.wikipedia.org/wiki/Feudalismo	feudalisme	https://ca.wikipedia.org/wiki/Feudalisme	feudalismus	https://cs.wikipedia.org/wiki/Feudalismus	
Q6206	https://wikidata.org/wiki/Q6206	Kapitalismus		https://wikidata.org/wiki/Q1641112	https://wikidata.org/wiki/Q273005	Kapitalismo	https://eu.wikipedia.org/wiki/Kapitalismo	capitalismo	https://es.wikipedia.org/wiki/Capitalismo	capitalism	https://en.wikipedia.org/wiki/Capitalism	capitalisme	https://fr.wikipedia.org/wiki/Capitalisme	capitalismo	https://it.wikipedia.org/wiki/Capitalismo	Kapitalismus	https://de.wikipedia.org/wiki/Kapitalismus	capitalismo	https://pt.wikipedia.org/wiki/Capitalismo	capitalisme	https://ca.wikipedia.org/wiki/Capitalisme	kapitalismus	https://cs.wikipedia.org/wiki/Kapitalismus	
Q7272	https://wikidata.org/wiki/Q7272	Sozialismus		https://wikidata.org/wiki/Q12909644, https://wikidata.org/wiki/Q273005		sozialismo	https://eu.wikipedia.org/wiki/Sozialismo	socialismo	https://es.wikipedia.org/wiki/Socialismo	socialism	https://en.wikipedia.org/wiki/Socialism	socialisme	https://fr.wikipedia.org/wiki/Socialisme	socialismo	https://it.wikipedia.org/wiki/Socialismo	Sozialismus	https://de.wikipedia.org/wiki/Sozialismus	socialismo	https://pt.wikipedia.org/wiki/Socialismo	socialisme	https://ca.wikipedia.org/wiki/Socialisme	socialismus	https://cs.wikipedia.org/wiki/Socialismus	
